Year,Species group or system,Value
2015,,-6.61
2016,,-6.44
2017,,-7.48
2018,,-7.43
2015,Birds index,6.08
2016,Birds index,5.73
2017,Birds index,5.67
2018,Birds index,5.79
2015,Mammals index,-37.45
2016,Mammals index,-36.99
2017,Mammals index,-42.68
2018,Mammals index,-42.26
2015,Fish index,-23.58
2016,Fish index,-22.8
2017,Fish index,-26.55
2018,Fish index,-29.81
2015,Terrestrial index,-13.55
2016,Terrestrial index,-13.44
2017,Terrestrial index,-14.25
2018,Terrestrial index,-14.21
2015,Freshwater index,36.56
2016,Freshwater index,36.52
2017,Freshwater index,37.83
2018,Freshwater index,37.71
2015,Marine index,-11.12
2016,Marine index,-10.82
2017,Marine index,-16.94
2018,Marine index,-16.49
